Temporada,Rodada,Mandante,Visitante,Mandante Placar,Visitante Placar
2008,31,grêmio,sport,1,0
2008,31,ipatinga,botafogo-rj,0,3
2008,31,náutico,portuguesa,1,1
2008,31,santos,figueirense,3,0
2008,31,são paulo,vitória,2,1
2008,32,botafogo-rj,são paulo,1,2
2008,32,coritiba,atlético-mg,2,1
2008,32,cruzeiro,grêmio,3,0
2008,32,figueirense,fluminense,0,1
2008,32,internacional,náutico,1,1
2008,32,palmeiras,goiás,1,0
2008,32,portuguesa,ipatinga,2,0
2008,32,sport,santos,1,1
2008,32,vasco,athlético-pr,2,2
2008,32,vitória,flamengo,0,0
2008,33,athlético-pr,sport,1,0
2008,33,atlético-mg,botafogo-rj,2,1
2008,33,flamengo,portuguesa,2,2
2008,33,fluminense,vasco,0,1
2008,33,goiás,cruzeiro,3,0
2008,33,grêmio,figueirense,1,1
2008,33,ipatinga,coritiba,2,0
2008,33,náutico,vitória,1,0
2008,33,santos,palmeiras,1,2
2008,33,são paulo,internacional,3,0
2008,34,botafogo-rj,flamengo,0,1
2008,34,coritiba,náutico,0,0
2008,34,cruzeiro,fluminense,1,0
2008,34,figueirense,athlético-pr,0,2
2008,34,internacional,ipatinga,4,0
2008,34,palmeiras,grêmio,0,1
2008,34,portuguesa,são paulo,2,3
2008,34,sport,goiás,2,1
2008,34,vasco,santos,1,0
2008,34,vitória,atlético-mg,0,1
2008,35,athlético-pr,vitória,2,1
2008,35,atlético-mg,vasco,4,1
2008,35,flamengo,palmeiras,5,2
2008,35,fluminense,portuguesa,3,1
2008,35,goiás,botafogo-rj,3,1
2008,35,grêmio,coritiba,2,1
2008,35,ipatinga,sport,3,0
2008,35,náutico,cruzeiro,5,2
2008,35,santos,internacional,1,0
2008,35,são paulo,figueirense,3,1
2008,36,botafogo-rj,athlético-pr,2,2
2008,36,coritiba,santos,5,1
2008,36,cruzeiro,flamengo,3,2
2008,36,figueirense,náutico,4,3
2008,36,internacional,fluminense,0,2
2008,36,palmeiras,ipatinga,2,0
2008,36,portuguesa,goiás,0,0
2008,36,sport,atlético-mg,3,0
2008,36,vasco,são paulo,1,2
2008,36,vitória,grêmio,4,2
2008,37,atlético-mg,santos,0,0
2008,37,botafogo-rj,figueirense,1,3
2008,37,coritiba,vasco,0,2
2008,37,flamengo,goiás,3,3
2008,37,internacional,cruzeiro,1,0
2008,37,ipatinga,grêmio,1,4
2008,37,náutico,athlético-pr,2,1
2008,37,portuguesa,sport,2,2
