,Time,Temporada,Rodada,Adversario,Vencedor,Mando_de_campo,Mandante Placar,Visitante Placar,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
100,flamengo,2008,6,são paulo,são paulo,1,2,4,0,13,4,1,1,13,6,7,0,1,4,-1
101,grêmio,2008,6,goiás,grêmio,-1,0,3,0,13,4,1,1,9,3,6,2,0,4,-1
102,cruzeiro,2008,6,palmeiras,palmeiras,-1,5,2,0,13,4,1,1,11,6,5,0,1,6,-1
103,náutico,2008,6,vasco,-,1,1,1,0,11,3,1,2,8,4,4,0,0,1,-1
104,palmeiras,2008,6,cruzeiro,palmeiras,1,5,2,0,10,3,2,1,9,8,1,1,0,1,-2
105,são paulo,2008,6,flamengo,são paulo,-1,2,4,0,9,2,1,3,11,6,5,2,0,2,-4
106,atlético-mg,2008,6,ipatinga,atlético-mg,1,4,2,0,9,2,1,3,9,9,0,1,0,5,-2
107,portuguesa,2008,6,athlético-pr,portuguesa,1,1,0,0,9,2,1,3,11,12,-1,2,0,2,1
108,athlético-pr,2008,6,portuguesa,portuguesa,-1,1,0,0,8,2,2,2,8,4,4,0,1,-1,-1
109,vitória,2008,6,coritiba,-,-1,0,0,0,8,2,2,2,5,4,1,0,0,-1,1
110,sport,2008,6,figueirense,figueirense,-1,3,1,0,8,2,2,2,6,7,-1,0,1,4,-1
111,figueirense,2008,6,sport,figueirense,1,3,1,0,8,2,2,2,10,16,-6,1,0,1,-2
112,botafogo-rj,2008,6,internacional,internacional,-1,2,1,0,7,2,3,1,6,8,-2,0,1,2,-5
113,internacional,2008,6,botafogo-rj,internacional,1,2,1,0,7,2,3,1,7,9,-2,1,0,6,-5
114,vasco,2008,6,náutico,-,-1,1,1,0,6,1,2,3,7,6,1,0,0,1,-6
115,coritiba,2008,6,vitória,-,1,0,0,0,6,1,2,3,6,6,0,0,0,-1,1
116,santos,2008,6,fluminense,-,-1,1,1,0,5,1,3,2,6,9,-3,0,0,1,-2
117,ipatinga,2008,6,atlético-mg,atlético-mg,-1,4,2,0,5,1,3,2,5,10,-5,0,1,1,-1
118,goiás,2008,6,grêmio,grêmio,1,0,3,0,3,0,3,3,3,12,-9,0,2,-3,-4
119,fluminense,2008,6,santos,-,1,1,1,0,2,0,4,2,3,8,-5,0,0,2,-5
120,flamengo,2008,7,ipatinga,flamengo,-1,1,3,0,16,5,1,1,16,7,9,1,0,5,-2
121,grêmio,2008,7,athlético-pr,grêmio,1,3,0,0,16,5,1,1,12,3,9,3,0,5,1
122,cruzeiro,2008,7,figueirense,cruzeiro,1,3,0,0,16,5,1,1,14,6,8,1,0,7,1
123,náutico,2008,7,atlético-mg,náutico,1,2,1,0,14,4,1,2,10,5,5,1,0,2,-2
124,palmeiras,2008,7,vasco,palmeiras,-1,0,2,0,13,4,2,1,11,8,3,2,0,2,-1
125,são paulo,2008,7,sport,são paulo,1,1,0,0,12,3,1,3,12,6,6,3,0,3,1
126,portuguesa,2008,7,botafogo-rj,portuguesa,-1,0,1,0,12,3,1,3,12,12,0,3,0,3,1
127,vitória,2008,7,internacional,vitória,1,2,1,0,11,3,2,2,7,5,2,1,0,1,-1
128,coritiba,2008,7,fluminense,coritiba,1,2,1,0,9,2,2,3,8,7,1,1,0,1,-1
129,atlético-mg,2008,7,náutico,náutico,-1,2,1,0,9,2,2,3,10,11,-1,0,1,6,-3
130,athlético-pr,2008,7,grêmio,grêmio,-1,3,0,0,8,2,3,2,8,7,1,0,2,-2,-2
131,sport,2008,7,são paulo,são paulo,-1,1,0,0,8,2,3,2,6,8,-2,0,2,-1,-2
132,figueirense,2008,7,cruzeiro,cruzeiro,-1,3,0,0,8,2,3,2,10,19,-9,0,1,-1,-3
133,internacional,2008,7,vitória,vitória,-1,2,1,0,7,2,4,1,8,11,-3,0,1,7,-6
134,botafogo-rj,2008,7,portuguesa,portuguesa,1,0,1,0,7,2,4,1,6,9,-3,0,2,-1,-6
135,vasco,2008,7,palmeiras,palmeiras,1,0,2,0,6,1,3,3,7,8,-1,0,1,-1,-7
136,goiás,2008,7,santos,goiás,-1,0,4,0,6,1,3,3,7,12,-5,1,0,1,-3
137,ipatinga,2008,7,flamengo,flamengo,1,1,3,0,5,1,4,2,6,13,-7,0,2,2,-2
138,santos,2008,7,goiás,goiás,1,0,4,0,5,1,4,2,6,13,-7,0,1,-1,-3
139,fluminense,2008,7,coritiba,coritiba,-1,2,1,0,2,0,5,2,4,10,-6,0,1,3,-6
140,flamengo,2008,8,sport,flamengo,-1,1,2,0,19,6,1,1,18,8,10,2,0,6,-3
141,grêmio,2008,8,internacional,-,1,1,1,0,17,5,1,2,13,4,9,0,0,6,-1
142,cruzeiro,2008,8,são paulo,-,1,1,1,0,17,5,1,2,15,7,8,0,0,8,-1
143,palmeiras,2008,8,náutico,palmeiras,1,2,0,0,16,5,2,1,13,8,5,3,0,3,1
144,vitória,2008,8,goiás,vitória,1,3,0,0,14,4,2,2,10,5,5,2,0,2,1
145,náutico,2008,8,palmeiras,palmeiras,-1,2,0,0,14,4,2,2,10,7,3,0,1,-1,-3
146,são paulo,2008,8,cruzeiro,-,-1,1,1,0,13,3,1,4,13,7,6,0,0,4,-1
147,portuguesa,2008,8,santos,-,1,0,0,0,13,3,1,4,12,12,0,0,0,-1,1
148,coritiba,2008,8,athlético-pr,-,-1,1,1,0,10,2,2,4,9,8,1,0,0,2,-2
149,atlético-mg,2008,8,figueirense,-,-1,1,1,0,10,2,2,4,11,12,-1,0,0,7,-4
150,vasco,2008,8,ipatinga,vasco,1,4,2,0,9,2,3,3,11,10,1,1,0,1,-8
151,athlético-pr,2008,8,coritiba,-,1,1,1,0,9,2,3,3,9,8,1,0,0,1,-3
152,figueirense,2008,8,atlético-mg,-,1,1,1,0,9,2,3,3,11,20,-9,0,0,1,-4
153,botafogo-rj,2008,8,fluminense,-,-1,0,0,0,8,2,4,2,6,9,-3,0,0,-2,-5
154,internacional,2008,8,grêmio,-,-1,1,1,0,8,2,4,2,9,12,-3,0,0,8,-7
155,sport,2008,8,flamengo,flamengo,1,1,2,0,8,2,4,2,7,10,-3,0,3,1,-3
156,santos,2008,8,portuguesa,-,-1,0,0,0,6,1,4,3,6,13,-7,0,0,-2,-2
157,goiás,2008,8,vitória,vitória,-1,3,0,0,6,1,4,3,7,15,-8,0,1,-1,-4
158,ipatinga,2008,8,vasco,vasco,-1,4,2,0,5,1,5,2,8,17,-9,0,3,3,-3
159,fluminense,2008,8,botafogo-rj,-,1,0,0,0,3,0,5,3,4,10,-6,0,0,-1,1
160,flamengo,2008,9,náutico,flamengo,1,3,0,0,22,7,1,1,21,8,13,3,0,7,1
161,cruzeiro,2008,9,sport,sport,-1,1,0,0,17,5,2,2,15,8,7,0,1,-1,-2
162,grêmio,2008,9,botafogo-rj,botafogo-rj,-1,2,0,0,17,5,2,2,13,6,7,0,1,-1,-2
163,vitória,2008,9,portuguesa,vitória,-1,1,2,0,17,5,2,2,12,6,6,3,0,3,-1
164,palmeiras,2008,9,atlético-mg,-,-1,1,1,0,17,5,2,2,14,9,5,0,0,4,-1
165,náutico,2008,9,flamengo,flamengo,-1,3,0,0,14,4,3,2,10,10,0,0,2,-2,-4
166,são paulo,2008,9,ipatinga,-,1,1,1,0,14,3,1,5,14,8,6,0,0,5,-2
167,portuguesa,2008,9,vitória,vitória,1,1,2,0,13,3,2,4,13,14,-1,0,1,1,-1
168,athlético-pr,2008,9,santos,athlético-pr,1,1,0,0,12,3,3,3,10,8,2,1,0,2,1
169,figueirense,2008,9,vasco,figueirense,1,2,1,0,12,3,3,3,13,21,-8,1,0,2,-5
170,internacional,2008,9,coritiba,internacional,1,3,0,0,11,3,4,2,12,12,0,1,0,9,1
171,botafogo-rj,2008,9,grêmio,botafogo-rj,1,2,0,0,11,3,4,2,8,9,-1,1,0,1,1
172,sport,2008,9,cruzeiro,sport,1,1,0,0,11,3,4,2,8,10,-2,1,0,2,1
173,atlético-mg,2008,9,palmeiras,-,1,1,1,0,11,2,2,5,12,13,-1,0,0,8,-5
174,coritiba,2008,9,internacional,internacional,-1,3,0,0,10,2,3,4,9,11,-2,0,1,-1,-3
175,vasco,2008,9,figueirense,figueirense,-1,2,1,0,9,2,4,3,12,12,0,0,1,2,-9
176,goiás,2008,9,fluminense,goiás,1,1,0,0,9,2,4,3,8,15,-7,1,0,1,1
177,santos,2008,9,athlético-pr,athlético-pr,-1,1,0,0,6,1,5,3,6,14,-8,0,1,-3,-3
178,ipatinga,2008,9,são paulo,-,-1,1,1,0,6,1,5,3,9,18,-9,0,0,4,-4
179,fluminense,2008,9,goiás,goiás,-1,1,0,0,3,0,6,3,4,11,-7,0,1,-2,-1
180,flamengo,2008,10,atlético-mg,-,-1,1,1,0,23,7,1,2,22,9,13,0,0,8,-1
181,vitória,2008,10,botafogo-rj,vitória,1,5,2,0,20,6,2,2,17,8,9,4,0,4,-2
182,grêmio,2008,10,santos,-,-1,1,1,0,18,5,2,3,14,7,7,0,0,1,-3
183,cruzeiro,2008,10,ipatinga,-,-1,2,2,0,18,5,2,3,17,10,7,0,0,1,-3
184,palmeiras,2008,10,figueirense,-,1,1,1,0,18,5,2,3,15,10,5,0,0,5,-2
185,náutico,2008,10,são paulo,náutico,1,2,1,0,17,5,3,2,12,11,1,1,0,1,-5
186,internacional,2008,10,goiás,internacional,1,1,0,0,14,4,4,2,13,12,1,2,0,10,1
187,são paulo,2008,10,náutico,náutico,-1,2,1,0,14,3,2,5,15,10,5,0,1,6,-3
188,coritiba,2008,10,portuguesa,coritiba,1,4,0,0,13,3,3,4,13,11,2,1,0,1,1
189,portuguesa,2008,10,coritiba,coritiba,-1,4,0,0,13,3,3,4,13,18,-5,0,2,-1,-2
190,figueirense,2008,10,palmeiras,-,-1,1,1,0,13,3,3,4,14,22,-8,0,0,3,-6
191,vasco,2008,10,sport,vasco,1,4,0,0,12,3,4,3,16,12,4,1,0,3,1
192,athlético-pr,2008,10,fluminense,fluminense,-1,3,0,0,12,3,4,3,10,11,-1,0,1,-1,-1
193,atlético-mg,2008,10,flamengo,-,1,1,1,0,12,2,2,6,13,14,-1,0,0,9,-6
194,botafogo-rj,2008,10,vitória,vitória,-1,5,2,0,11,3,5,2,10,14,-4,0,1,2,-1
195,sport,2008,10,vasco,vasco,-1,4,0,0,11,3,5,2,8,14,-6,0,1,-1,-1
196,goiás,2008,10,internacional,internacional,-1,1,0,0,9,2,5,3,8,16,-8,0,1,-1,-1
197,santos,2008,10,grêmio,-,1,1,1,0,7,1,5,4,7,15,-8,0,0,1,-4
198,ipatinga,2008,10,cruzeiro,-,1,2,2,0,7,1,5,4,11,20,-9,0,0,5,-5
199,fluminense,2008,10,athlético-pr,fluminense,1,3,0,0,6,1,6,3,7,11,-4,1,0,1,1
200,flamengo,2008,11,vasco,flamengo,1,3,1,0,26,8,1,2,25,10,15,1,0,9,-2
201,cruzeiro,2008,11,atlético-mg,cruzeiro,1,2,1,0,21,6,2,3,19,11,8,1,0,2,-4
202,grêmio,2008,11,portuguesa,grêmio,1,2,1,0,21,6,2,3,16,8,8,1,0,2,-4
203,vitória,2008,11,fluminense,fluminense,-1,2,1,0,20,6,3,2,18,10,8,0,1,5,-3
204,palmeiras,2008,11,são paulo,são paulo,-1,2,1,0,18,5,3,3,16,12,4,0,1,6,-3
205,náutico,2008,11,sport,sport,1,0,2,0,17,5,4,2,12,13,-1,0,1,-1,-6
206,são paulo,2008,11,palmeiras,são paulo,1,2,1,0,17,4,2,5,17,11,6,1,0,7,-4
207,figueirense,2008,11,ipatinga,figueirense,-1,0,1,0,16,4,3,4,15,22,-7,1,0,4,-5
208,internacional,2008,11,athlético-pr,-,-1,1,1,0,15,4,4,3,14,13,1,0,0,11,-1
209,sport,2008,11,náutico,sport,-1,0,2,0,14,4,5,2,10,14,-4,1,0,1,0
210,coritiba,2008,11,goiás,-,-1,2,2,0,14,3,3,5,15,13,2,0,0,2,-1
211,athlético-pr,2008,11,internacional,-,1,1,1,0,13,3,4,4,11,12,-1,0,0,1,-2
212,portuguesa,2008,11,grêmio,grêmio,-1,2,1,0,13,3,4,4,14,20,-6,0,3,1,-3
213,vasco,2008,11,flamengo,flamengo,-1,3,1,0,12,3,5,3,17,15,2,0,1,4,-1
214,botafogo-rj,2008,11,santos,-,-1,2,2,0,12,3,5,3,12,16,-4,0,0,3,-2
215,atlético-mg,2008,11,cruzeiro,cruzeiro,-1,2,1,0,12,2,3,6,14,16,-2,0,1,10,-7
216,goiás,2008,11,coritiba,-,1,2,2,0,10,2,5,4,10,18,-8,0,0,1,-2
217,fluminense,2008,11,vitória,fluminense,1,2,1,0,9,2,6,3,9,12,-3,2,0,2,-1
218,santos,2008,11,botafogo-rj,-,1,2,2,0,8,1,5,5,9,17,-8,0,0,2,-5
219,ipatinga,2008,11,figueirense,figueirense,1,0,1,0,7,1,6,4,11,21,-10,0,1,-1,-6
220,flamengo,2008,12,coritiba,coritiba,-1,1,0,0,26,8,2,2,25,11,14,0,1,-1,-3
221,cruzeiro,2008,12,athlético-pr,cruzeiro,1,1,0,0,24,7,2,3,20,11,9,2,0,3,1
222,grêmio,2008,12,sport,-,-1,2,2,0,22,6,2,4,18,10,8,0,0,3,-5
223,palmeiras,2008,12,fluminense,palmeiras,1,3,1,0,21,6,3,3,19,13,6,1,0,7,-4
224,vitória,2008,12,são paulo,são paulo,1,1,3,0,20,6,4,2,19,13,6,0,2,6,-4
225,são paulo,2008,12,vitória,são paulo,-1,1,3,0,20,5,2,5,20,12,8,2,0,8,-5
226,figueirense,2008,12,santos,figueirense,1,3,0,0,19,5,3,4,18,22,-4,2,0,5,1
227,internacional,2008,12,atlético-mg,internacional,1,1,0,0,18,5,4,3,15,13,2,1,0,12,1
228,náutico,2008,12,portuguesa,portuguesa,-1,3,2,0,17,5,5,2,14,16,-2,0,2,1,-7
229,coritiba,2008,12,flamengo,coritiba,1,1,0,0,17,4,3,5,16,13,3,1,0,3,1
230,portuguesa,2008,12,náutico,portuguesa,1,3,2,0,16,4,4,4,17,22,-5,1,0,2,-4
231,botafogo-rj,2008,12,ipatinga,botafogo-rj,1,4,0,0,15,4,5,3,16,16,0,1,0,4,1
232,sport,2008,12,grêmio,-,1,2,2,0,15,4,5,3,12,16,-4,0,0,2,-1
233,vasco,2008,12,goiás,-,1,1,1,0,13,3,5,4,18,16,2,0,0,5,-2
234,athlético-pr,2008,12,cruzeiro,cruzeiro,-1,1,0,0,13,3,5,4,11,13,-2,0,1,-1,-3
235,atlético-mg,2008,12,internacional,internacional,-1,1,0,0,12,2,4,6,14,17,-3,0,2,-1,-8
236,goiás,2008,12,vasco,-,-1,1,1,0,11,2,5,5,11,19,-8,0,0,2,-3
237,fluminense,2008,12,palmeiras,palmeiras,-1,3,1,0,9,2,7,3,10,15,-5,0,1,3,-2
238,santos,2008,12,figueirense,figueirense,-1,3,0,0,8,1,6,5,9,20,-11,0,1,-1,-6
239,ipatinga,2008,12,botafogo-rj,botafogo-rj,-1,4,0,0,7,1,7,4,11,25,-14,0,2,-2,-7
240,flamengo,2008,13,vitória,vitória,1,0,1,0,26,8,3,2,25,12,13,0,2,-2,-4
241,grêmio,2008,13,cruzeiro,grêmio,1,1,0,0,25,7,2,4,19,10,9,1,0,4,1
242,cruzeiro,2008,13,grêmio,grêmio,-1,1,0,0,24,7,3,3,20,12,8,0,1,-1,-1
243,vitória,2008,13,flamengo,vitória,-1,0,1,0,23,7,4,2,20,13,7,1,0,7,-3
244,são paulo,2008,13,botafogo-rj,são paulo,1,2,1,0,23,6,2,5,22,13,9,3,0,9,-6
245,palmeiras,2008,13,goiás,goiás,-1,3,2,0,21,6,4,3,21,16,5,0,1,8,-5
246,internacional,2008,13,náutico,-,-1,1,1,0,19,5,4,4,16,14,2,0,0,13,-1
247,figueirense,2008,13,fluminense,fluminense,-1,1,0,0,19,5,4,4,18,23,-5,0,1,-1,-1
248,náutico,2008,13,internacional,-,1,1,1,0,18,5,5,3,15,17,-2,0,0,2,-8
249,coritiba,2008,13,atlético-mg,atlético-mg,-1,3,2,0,17,4,4,5,18,16,2,0,1,4,-1
250,athlético-pr,2008,13,vasco,athlético-pr,1,3,1,0,16,4,5,4,14,14,0,1,0,1,-4
251,portuguesa,2008,13,ipatinga,ipatinga,-1,4,1,0,16,4,5,4,18,26,-8,0,1,3,-5
252,botafogo-rj,2008,13,são paulo,são paulo,-1,2,1,0,15,4,6,3,17,18,-1,0,1,5,-1
