Time,Temporada,Rodada,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
Ipatinga,2008,10,19,7,1,5,4,11,20,-9,0,0,5,-5
Fluminense,2008,10,20,6,1,6,3,7,11,-4,1,0,1,1
Flamengo,2008,11,1,26,8,1,2,25,10,15,1,0,9,-2
Grêmio,2008,11,2,21,6,2,3,16,8,8,1,0,2,-4
Cruzeiro,2008,11,3,21,6,2,3,19,11,8,1,0,2,-4
Vitória,2008,11,4,20,6,3,2,18,10,8,0,1,5,-3
Palmeiras,2008,11,5,18,5,3,3,16,12,4,0,1,6,-3
Náutico,2008,11,6,17,5,4,2,12,13,-1,0,1,-1,-6
São Paulo,2008,11,7,17,4,2,5,17,11,6,1,0,7,-4
Figueirense,2008,11,8,16,4,3,4,15,22,-7,1,0,4,-5
Internacional,2008,11,9,15,4,4,3,14,13,1,0,0,11,-1
Vasco,2008,11,10,14,4,5,2,17,15,2,0,1,4,-1
Sport,2008,11,11,14,4,5,2,10,14,-4,1,0,1,0
Coritiba,2008,11,12,14,3,3,5,15,13,2,0,0,2,-1
Athletico-PR,2008,11,13,13,3,4,4,11,12,-1,0,0,1,-2
Botafogo,2008,11,14,12,3,5,3,12,16,-4,0,0,3,-2
Portuguesa,2008,11,15,12,3,5,3,14,20,-6,0,3,1,-3
Atlético-MG,2008,11,16,12,2,3,6,14,16,-2,0,1,10,-7
Goiás,2008,11,17,10,2,5,4,10,18,-8,0,0,1,-2
Fluminense,2008,11,18,9,2,6,3,9,12,-3,2,0,2,-1
Santos,2008,11,19,8,1,5,5,9,17,-8,0,0,2,-5
Ipatinga,2008,11,20,7,1,6,4,11,21,-10,0,1,-1,-6
Flamengo,2008,12,1,26,8,2,2,25,11,14,0,1,-1,-3
Cruzeiro,2008,12,2,24,7,2,3,20,11,9,2,0,3,1
Grêmio,2008,12,3,22,6,2,4,18,10,8,0,0,3,-5
Palmeiras,2008,12,4,21,6,3,3,19,13,6,1,0,7,-4
Vitória,2008,12,5,20,6,4,2,19,13,6,0,2,6,-4
São Paulo,2008,12,6,20,5,2,5,20,12,8,2,0,8,-5
Figueirense,2008,12,7,19,5,3,4,18,22,-4,2,0,5,1
Internacional,2008,12,8,18,5,4,3,15,13,2,1,0,12,1
Náutico,2008,12,9,17,5,5,2,14,16,-2,0,2,1,-7
Coritiba,2008,12,10,17,4,3,5,16,13,3,1,0,3,1
Vasco,2008,12,11,15,4,5,3,18,16,2,0,0,5,-2
Botafogo,2008,12,12,15,4,5,3,16,16,0,1,0,4,1
Sport,2008,12,13,15,4,5,3,12,16,-4,0,0,2,-1
Portuguesa,2008,12,14,15,4,5,3,17,22,-5,1,0,2,-4
Athletico-PR,2008,12,15,13,3,5,4,11,13,-2,0,1,-1,-3
Atlético-MG,2008,12,16,12,2,4,6,14,17,-3,0,2,-1,-8
Goiás,2008,12,17,11,2,5,5,11,19,-8,0,0,2,-3
Fluminense,2008,12,18,9,2,7,3,10,15,-5,0,1,3,-2
Santos,2008,12,19,8,1,6,5,9,20,-11,0,1,-1,-6
Ipatinga,2008,12,20,7,1,7,4,11,25,-14,0,2,-2,-7
Flamengo,2008,13,1,26,8,3,2,25,12,13,0,2,-2,-4
Grêmio,2008,13,2,25,7,2,4,19,10,9,1,0,4,1
Cruzeiro,2008,13,3,24,7,3,3,20,12,8,0,1,-1,-1
Vitória,2008,13,4,23,7,4,2,20,13,7,1,0,7,-3
São Paulo,2008,13,5,23,6,2,5,22,13,9,3,0,9,-6
