Time,Temporada,Rodada,Adversario,Vencedor,Mando_de_campo,Mandante Placar,Visitante Placar,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
ipatinga,2008,6,atlético-mg,atlético-mg,-1,4,2,0,5,1,3,2,5,10,-5,0,1,1,-1
goiás,2008,6,grêmio,grêmio,1,0,3,0,3,0,3,3,3,12,-9,0,2,-3,-4
fluminense,2008,6,santos,-,1,1,1,0,2,0,4,2,3,8,-5,0,0,2,-5
flamengo,2008,7,ipatinga,flamengo,-1,1,3,0,16,5,1,1,16,7,9,1,0,5,-2
grêmio,2008,7,athlético-pr,grêmio,1,3,0,0,16,5,1,1,12,3,9,3,0,5,1
cruzeiro,2008,7,figueirense,cruzeiro,1,3,0,0,16,5,1,1,14,6,8,1,0,7,1
náutico,2008,7,atlético-mg,náutico,1,2,1,0,14,4,1,2,10,5,5,1,0,2,-2
palmeiras,2008,7,vasco,palmeiras,-1,0,2,0,13,4,2,1,11,8,3,2,0,2,-1
são paulo,2008,7,sport,são paulo,1,1,0,0,12,3,1,3,12,6,6,3,0,3,1
portuguesa,2008,7,botafogo-rj,portuguesa,-1,0,1,0,12,3,1,3,12,12,0,3,0,3,1
vitória,2008,7,internacional,vitória,1,2,1,0,11,3,2,2,7,5,2,1,0,1,-1
coritiba,2008,7,fluminense,coritiba,1,2,1,0,9,2,2,3,8,7,1,1,0,1,-1
atlético-mg,2008,7,náutico,náutico,-1,2,1,0,9,2,2,3,10,11,-1,0,1,6,-3
athlético-pr,2008,7,grêmio,grêmio,-1,3,0,0,8,2,3,2,8,7,1,0,2,-2,-2
sport,2008,7,são paulo,são paulo,-1,1,0,0,8,2,3,2,6,8,-2,0,2,-1,-2
figueirense,2008,7,cruzeiro,cruzeiro,-1,3,0,0,8,2,3,2,10,19,-9,0,1,-1,-3
internacional,2008,7,vitória,vitória,-1,2,1,0,7,2,4,1,8,11,-3,0,1,7,-6
botafogo-rj,2008,7,portuguesa,portuguesa,1,0,1,0,7,2,4,1,6,9,-3,0,2,-1,-6
vasco,2008,7,palmeiras,palmeiras,1,0,2,0,6,1,3,3,7,8,-1,0,1,-1,-7
goiás,2008,7,santos,goiás,-1,0,4,0,6,1,3,3,7,12,-5,1,0,1,-3
ipatinga,2008,7,flamengo,flamengo,1,1,3,0,5,1,4,2,6,13,-7,0,2,2,-2
santos,2008,7,goiás,goiás,1,0,4,0,5,1,4,2,6,13,-7,0,1,-1,-3
fluminense,2008,7,coritiba,coritiba,-1,2,1,0,2,0,5,2,4,10,-6,0,1,3,-6
flamengo,2008,8,sport,flamengo,-1,1,2,0,19,6,1,1,18,8,10,2,0,6,-3
grêmio,2008,8,internacional,-,1,1,1,0,17,5,1,2,13,4,9,0,0,6,-1
cruzeiro,2008,8,são paulo,-,1,1,1,0,17,5,1,2,15,7,8,0,0,8,-1
palmeiras,2008,8,náutico,palmeiras,1,2,0,0,16,5,2,1,13,8,5,3,0,3,1
vitória,2008,8,goiás,vitória,1,3,0,0,14,4,2,2,10,5,5,2,0,2,1
náutico,2008,8,palmeiras,palmeiras,-1,2,0,0,14,4,2,2,10,7,3,0,1,-1,-3
são paulo,2008,8,cruzeiro,-,-1,1,1,0,13,3,1,4,13,7,6,0,0,4,-1
portuguesa,2008,8,santos,-,1,0,0,0,13,3,1,4,12,12,0,0,0,-1,1
coritiba,2008,8,athlético-pr,-,-1,1,1,0,10,2,2,4,9,8,1,0,0,2,-2
atlético-mg,2008,8,figueirense,-,-1,1,1,0,10,2,2,4,11,12,-1,0,0,7,-4
vasco,2008,8,ipatinga,vasco,1,4,2,0,9,2,3,3,11,10,1,1,0,1,-8
athlético-pr,2008,8,coritiba,-,1,1,1,0,9,2,3,3,9,8,1,0,0,1,-3
figueirense,2008,8,atlético-mg,-,1,1,1,0,9,2,3,3,11,20,-9,0,0,1,-4
botafogo-rj,2008,8,fluminense,-,-1,0,0,0,8,2,4,2,6,9,-3,0,0,-2,-5
internacional,2008,8,grêmio,-,-1,1,1,0,8,2,4,2,9,12,-3,0,0,8,-7
sport,2008,8,flamengo,flamengo,1,1,2,0,8,2,4,2,7,10,-3,0,3,1,-3
santos,2008,8,portuguesa,-,-1,0,0,0,6,1,4,3,6,13,-7,0,0,-2,-2
goiás,2008,8,vitória,vitória,-1,3,0,0,6,1,4,3,7,15,-8,0,1,-1,-4
ipatinga,2008,8,vasco,vasco,-1,4,2,0,5,1,5,2,8,17,-9,0,3,3,-3
fluminense,2008,8,botafogo-rj,-,1,0,0,0,3,0,5,3,4,10,-6,0,0,-1,1
flamengo,2008,9,náutico,flamengo,1,3,0,0,22,7,1,1,21,8,13,3,0,7,1
cruzeiro,2008,9,sport,sport,-1,1,0,0,17,5,2,2,15,8,7,0,1,-1,-2
grêmio,2008,9,botafogo-rj,botafogo-rj,-1,2,0,0,17,5,2,2,13,6,7,0,1,-1,-2
vitória,2008,9,portuguesa,vitória,-1,1,2,0,17,5,2,2,12,6,6,3,0,3,-1
palmeiras,2008,9,atlético-mg,-,-1,1,1,0,17,5,2,2,14,9,5,0,0,4,-1
náutico,2008,9,flamengo,flamengo,-1,3,0,0,14,4,3,2,10,10,0,0,2,-2,-4
são paulo,2008,9,ipatinga,-,1,1,1,0,14,3,1,5,14,8,6,0,0,5,-2
portuguesa,2008,9,vitória,vitória,1,1,2,0,13,3,2,4,13,14,-1,0,1,1,-1
athlético-pr,2008,9,santos,athlético-pr,1,1,0,0,12,3,3,3,10,8,2,1,0,2,1
figueirense,2008,9,vasco,figueirense,1,2,1,0,12,3,3,3,13,21,-8,1,0,2,-5
internacional,2008,9,coritiba,internacional,1,3,0,0,11,3,4,2,12,12,0,1,0,9,1
botafogo-rj,2008,9,grêmio,botafogo-rj,1,2,0,0,11,3,4,2,8,9,-1,1,0,1,1
sport,2008,9,cruzeiro,sport,1,1,0,0,11,3,4,2,8,10,-2,1,0,2,1
atlético-mg,2008,9,palmeiras,-,1,1,1,0,11,2,2,5,12,13,-1,0,0,8,-5
coritiba,2008,9,internacional,internacional,-1,3,0,0,10,2,3,4,9,11,-2,0,1,-1,-3
vasco,2008,9,figueirense,figueirense,-1,2,1,0,9,2,4,3,12,12,0,0,1,2,-9
goiás,2008,9,fluminense,goiás,1,1,0,0,9,2,4,3,8,15,-7,1,0,1,1
santos,2008,9,athlético-pr,athlético-pr,-1,1,0,0,6,1,5,3,6,14,-8,0,1,-3,-3
ipatinga,2008,9,são paulo,-,-1,1,1,0,6,1,5,3,9,18,-9,0,0,4,-4
fluminense,2008,9,goiás,goiás,-1,1,0,0,3,0,6,3,4,11,-7,0,1,-2,-1
flamengo,2008,10,atlético-mg,-,-1,1,1,0,23,7,1,2,22,9,13,0,0,8,-1
vitória,2008,10,botafogo-rj,vitória,1,5,2,0,20,6,2,2,17,8,9,4,0,4,-2
grêmio,2008,10,santos,-,-1,1,1,0,18,5,2,3,14,7,7,0,0,1,-3
cruzeiro,2008,10,ipatinga,-,-1,2,2,0,18,5,2,3,17,10,7,0,0,1,-3
palmeiras,2008,10,figueirense,-,1,1,1,0,18,5,2,3,15,10,5,0,0,5,-2
náutico,2008,10,são paulo,náutico,1,2,1,0,17,5,3,2,12,11,1,1,0,1,-5
internacional,2008,10,goiás,internacional,1,1,0,0,14,4,4,2,13,12,1,2,0,10,1
são paulo,2008,10,náutico,náutico,-1,2,1,0,14,3,2,5,15,10,5,0,1,6,-3
coritiba,2008,10,portuguesa,coritiba,1,4,0,0,13,3,3,4,13,11,2,1,0,1,1
portuguesa,2008,10,coritiba,coritiba,-1,4,0,0,13,3,3,4,13,18,-5,0,2,-1,-2
figueirense,2008,10,palmeiras,-,-1,1,1,0,13,3,3,4,14,22,-8,0,0,3,-6
vasco,2008,10,sport,vasco,1,4,0,0,12,3,4,3,16,12,4,1,0,3,1
athlético-pr,2008,10,fluminense,fluminense,-1,3,0,0,12,3,4,3,10,11,-1,0,1,-1,-1
atlético-mg,2008,10,flamengo,-,1,1,1,0,12,2,2,6,13,14,-1,0,0,9,-6
botafogo-rj,2008,10,vitória,vitória,-1,5,2,0,11,3,5,2,10,14,-4,0,1,2,-1
sport,2008,10,vasco,vasco,-1,4,0,0,11,3,5,2,8,14,-6,0,1,-1,-1
goiás,2008,10,internacional,internacional,-1,1,0,0,9,2,5,3,8,16,-8,0,1,-1,-1
santos,2008,10,grêmio,-,1,1,1,0,7,1,5,4,7,15,-8,0,0,1,-4
ipatinga,2008,10,cruzeiro,-,1,2,2,0,7,1,5,4,11,20,-9,0,0,5,-5
fluminense,2008,10,athlético-pr,fluminense,1,3,0,0,6,1,6,3,7,11,-4,1,0,1,1
flamengo,2008,11,vasco,flamengo,1,3,1,0,26,8,1,2,25,10,15,1,0,9,-2
cruzeiro,2008,11,atlético-mg,cruzeiro,1,2,1,0,21,6,2,3,19,11,8,1,0,2,-4
grêmio,2008,11,portuguesa,grêmio,1,2,1,0,21,6,2,3,16,8,8,1,0,2,-4
vitória,2008,11,fluminense,fluminense,-1,2,1,0,20,6,3,2,18,10,8,0,1,5,-3
palmeiras,2008,11,são paulo,são paulo,-1,2,1,0,18,5,3,3,16,12,4,0,1,6,-3
náutico,2008,11,sport,sport,1,0,2,0,17,5,4,2,12,13,-1,0,1,-1,-6
são paulo,2008,11,palmeiras,são paulo,1,2,1,0,17,4,2,5,17,11,6,1,0,7,-4
figueirense,2008,11,ipatinga,figueirense,-1,0,1,0,16,4,3,4,15,22,-7,1,0,4,-5
internacional,2008,11,athlético-pr,-,-1,1,1,0,15,4,4,3,14,13,1,0,0,11,-1
sport,2008,11,náutico,sport,-1,0,2,0,14,4,5,2,10,14,-4,1,0,1,0
coritiba,2008,11,goiás,-,-1,2,2,0,14,3,3,5,15,13,2,0,0,2,-1
athlético-pr,2008,11,internacional,-,1,1,1,0,13,3,4,4,11,12,-1,0,0,1,-2
portuguesa,2008,11,grêmio,grêmio,-1,2,1,0,13,3,4,4,14,20,-6,0,3,1,-3
vasco,2008,11,flamengo,flamengo,-1,3,1,0,12,3,5,3,17,15,2,0,1,4,-1
